Time,Process,Temp,Current,NG
2021-09-06 17:44:40,25,74.01093857044455,1.529,0
2021-09-06 17:44:45,25,74.19333628680197,1.561,0
2021-09-06 17:44:50,25,76.28386418628695,1.676,0
2021-09-06 17:44:55,25,76.3394548018018,1.68,0
2021-09-06 17:45:00,25,74.49933688835523,1.727,0
2021-09-06 17:45:05,25,75.81608582210924,1.729,0
2021-09-06 17:45:10,25,71.00784572726687,1.687,0
2021-09-06 17:45:15,25,72.11937724252256,1.717,0
2021-09-06 17:45:20,25,72.12181233844662,1.607,0
2021-09-06 17:45:25,25,73.06197573575812,1.632,0
2021-09-06 17:45:30,25,71.0864964282445,1.633,0
2021-09-06 17:45:35,25,72.25677527359753,1.655,0
2021-09-06 17:45:40,25,69.04198315231801,1.609,0
2021-09-06 17:45:45,25,70.31247367223635,1.636,0
2021-09-06 17:45:50,25,69.53366359223965,1.563,0
2021-09-06 17:45:55,25,72.74042366970423,1.592,0
2021-09-06 17:46:00,25,73.04518510357609,1.573,0
2021-09-06 17:46:05,25,73.47249049518311,1.647,0
2021-09-06 17:46:10,25,71.01093857044455,1.654,0
2021-09-06 17:46:15,25,71.19333628680197,1.663,0
2021-09-06 17:46:20,25,68.28386418628695,1.607,0
2021-09-06 17:46:25,25,71.3394548018018,1.612,0
2021-09-06 17:46:30,25,68.49933688835523,1.545,0
2021-09-06 17:46:35,25,68.81608582210924,1.615,0
2021-09-06 17:46:40,25,66.00784572726687,1.55,0
2021-09-06 17:46:45,25,68.11937724252256,1.558,0
2021-09-06 17:46:50,25,69.12181233844662,1.494,0
2021-09-06 17:46:55,25,66.06197573575812,1.542,0
2021-09-06 17:47:00,25,67.0864964282445,1.565,0
2021-09-06 17:47:05,25,66.25677527359753,1.495,0
2021-09-06 17:47:10,25,67.00784572726687,1.518,0
2021-09-06 17:47:15,25,67.11937724252256,1.499,0
2021-09-06 17:47:20,25,64.12181233844662,1.516,0
2021-09-06 17:47:25,25,67.06197573575812,1.519,0
2021-09-06 17:47:30,25,65.0864964282445,1.451,0
2021-09-06 17:47:35,25,65.25677527359753,1.518,0
2021-09-06 16:40:50,6,75.04198315231801,1.552,0
2021-09-06 16:40:55,6,75.31247367223635,1.492,0
2021-09-06 16:41:00,6,76.53366359223965,1.699,0
2021-09-06 16:41:05,6,73.74042366970423,1.705,0
2021-09-06 16:41:10,6,77.04518510357609,1.733,0
2021-09-06 16:41:15,6,76.47249049518311,1.67,0
2021-09-06 16:41:20,6,71.04198315231801,1.745,0
2021-09-06 16:41:25,6,72.31247367223635,1.732,0
2021-09-06 16:41:30,6,72.53366359223965,1.608,0
2021-09-06 16:41:35,6,72.74042366970423,1.637,0
2021-09-06 16:41:40,6,74.04518510357609,1.642,0
2021-09-06 16:41:45,6,73.47249049518311,1.646,0
2021-09-06 16:41:50,6,71.00784572726687,1.677,0
2021-09-06 16:41:55,6,72.11937724252256,1.664,0
2021-09-06 16:42:00,6,72.12181233844662,1.608,0
2021-09-06 16:42:05,6,72.06197573575812,1.632,0
2021-09-06 16:42:10,6,72.0864964282445,1.633,0
2021-09-06 16:42:15,6,70.25677527359753,1.631,0
2021-09-06 16:42:20,6,68.04198315231801,1.632,0
2021-09-06 16:42:25,6,70.31247367223635,1.591,0
2021-09-06 16:42:30,6,71.53366359223965,1.54,0
2021-09-06 16:42:35,6,71.74042366970423,1.591,0
2021-09-06 16:42:40,6,71.04518510357609,1.619,0
2021-09-06 16:42:45,6,69.47249049518311,1.624,0
2021-09-06 16:42:50,6,66.00784572726687,1.609,0
2021-09-06 16:42:55,6,68.11937724252256,1.572,0
2021-09-06 16:43:00,6,66.12181233844662,1.494,0
2021-09-06 16:43:05,6,66.06197573575812,1.542,0
2021-09-06 16:43:10,6,66.0864964282445,1.496,0
2021-09-06 16:43:15,6,69.25677527359753,1.495,0
2021-09-06 16:43:20,6,64.01093857044455,1.496,0
2021-09-06 16:43:25,6,64.19333628680197,1.567,0
2021-09-06 16:43:30,6,65.28386418628695,1.448,0
2021-09-06 16:43:35,6,67.3394548018018,1.452,0
2021-09-06 16:43:40,6,65.49933688835523,1.478,0
2021-09-06 16:43:45,6,64.81608582210924,1.524,0
2021-09-06 16:44:13,7,75.04198315231801,1.482,0
2021-09-06 16:44:18,7,73.31247367223635,1.466,0
2021-09-06 16:44:23,7,76.53366359223965,1.699,0
2021-09-06 16:44:28,7,73.74042366970423,1.66,0
2021-09-06 16:44:33,7,74.04518510357609,1.734,0
2021-09-06 16:44:38,7,74.47249049518311,1.67,0
2021-09-06 16:44:43,7,72.13914228339809,1.676,0
2021-09-06 16:44:48,7,73.66042141558682,1.686,0
2021-09-06 16:44:53,7,74.1776601448583,1.633,0
2021-09-06 16:44:58,7,73.58643440551927,1.668,0
2021-09-06 16:45:03,7,73.87710395778115,1.68,0
2021-09-06 16:45:08,7,76.01353466824737,1.666,0
2021-09-06 16:45:13,7,71.04198315231801,1.673,0
2021-09-06 16:45:18,7,71.31247367223635,1.721,0
2021-09-06 16:45:23,7,70.53366359223965,1.608,0
2021-09-06 16:45:28,7,71.74042366970423,1.614,0
2021-09-06 16:45:33,7,70.04518510357609,1.596,0
2021-09-06 16:45:38,7,75.27600419603543,1.6638639848798402,0
2021-09-06 16:45:43,7,68.01093857044455,1.585,0
2021-09-06 16:45:48,7,69.19333628680197,1.663,0
2021-09-06 16:45:53,7,69.28386418628695,1.539,0
2021-09-06 16:45:58,7,68.3394548018018,1.566,0
2021-09-06 16:46:03,7,71.49933688835523,1.568,0
2021-09-06 16:46:08,7,70.81608582210924,1.547,0
2021-09-06 16:46:13,7,67.20403500015834,1.618,0
2021-09-06 16:46:18,7,69.87178422074807,1.603,0
2021-09-06 16:46:23,7,69.49957940787253,1.521,0
2021-09-06 16:46:28,7,67.86391347156295,1.582,0
2021-09-06 16:46:33,7,69.9081485396546,1.573,0
2021-09-06 16:46:38,7,69.66209655792429,1.536,0
2021-09-06 16:46:43,7,67.01093857044455,1.582,0
2021-09-06 16:46:48,7,64.19333628680197,1.577,0
2021-09-06 16:46:53,7,65.28386418628695,1.517,0
2021-09-06 16:46:58,7,66.3394548018018,1.452,0
2021-09-06 16:47:03,7,67.49933688835523,1.478,0
2021-09-06 16:47:08,7,65.81608582210924,1.501,0
2021-09-06 17:48:03,26,76.20403500015834,1.473,0
2021-09-06 17:48:08,26,74.87178422074807,1.477,0
2021-09-06 17:48:13,26,77.49957940787253,1.726,0
2021-09-06 17:48:18,26,74.86391347156295,1.695,0
2021-09-06 17:48:23,26,75.9081485396546,1.756,0
2021-09-06 17:48:28,26,76.66209655792429,1.695,0
2021-09-06 17:48:33,26,74.00784572726687,1.719,0
2021-09-06 17:48:38,26,71.11937724252256,1.736,0
2021-09-06 17:48:43,26,74.12181233844662,1.676,0
2021-09-06 17:48:48,26,72.06197573575812,1.61,0
2021-09-06 17:48:53,26,72.0864964282445,1.678,0
2021-09-06 17:48:58,26,72.25677527359753,1.632,0
2021-09-06 17:49:03,26,70.13914228339809,1.632,0
2021-09-06 17:49:08,26,70.66042141558682,1.636,0
2021-09-06 17:49:13,26,71.1776601448583,1.587,0
2021-09-06 17:49:18,26,71.58643440551927,1.599,0
2021-09-06 17:49:23,26,72.87710395778115,1.612,0
2021-09-06 17:49:28,26,73.01353466824737,1.62,0
2021-09-06 17:49:33,26,68.20403500015834,1.65,0
2021-09-06 17:49:38,26,71.87178422074807,1.653,0
2021-09-06 17:49:43,26,72.49957940787253,1.544,0
2021-09-06 17:49:48,26,71.86391347156295,1.627,0
2021-09-06 17:49:53,26,71.9081485396546,1.641,0
2021-09-06 17:49:58,26,71.66209655792429,1.627,0
2021-09-06 17:50:03,26,67.00784572726687,1.628,0
2021-09-06 17:50:08,26,67.11937724252256,1.623,0
2021-09-06 17:50:13,26,69.12181233844662,1.517,0
2021-09-06 17:50:18,26,69.06197573575812,1.519,0
2021-09-06 17:50:23,26,67.0864964282445,1.564,0
2021-09-06 17:50:28,26,67.25677527359753,1.564,0
2021-09-06 17:50:33,26,66.00784572726687,1.518,0
2021-09-06 17:50:38,26,65.11937724252256,1.522,0
2021-09-06 17:50:43,26,66.12181233844662,1.494,0
2021-09-06 17:50:48,26,67.06197573575812,1.474,0
2021-09-06 17:50:53,26,67.0864964282445,1.496,0
2021-09-06 17:50:58,26,67.25677527359753,1.518,0
2021-09-06 16:47:34,8,76.01093857044455,1.528,0
2021-09-06 16:47:39,8,74.19333628680197,1.489,0
2021-09-06 16:47:44,8,74.28386418628695,1.721,0
2021-09-06 16:47:49,8,75.3394548018018,1.68,0
2021-09-06 16:47:54,8,75.49933688835523,1.682,0
2021-09-06 16:47:59,8,74.81608582210924,1.706,0
2021-09-06 16:48:04,8,71.13914228339809,1.71,0
2021-09-06 16:48:09,8,73.66042141558682,1.694,0
2021-09-06 16:48:14,8,72.1776601448583,1.611,0
2021-09-06 16:48:19,8,74.58643440551927,1.668,0
2021-09-06 16:48:24,8,74.87710395778115,1.634,0
2021-09-06 16:48:29,8,80.4143522816745,1.8350676212470696,0
